Condition,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8,Dimension 9,Dimension 10,Dimension 11,Dimension 12,Dimension 13,Dimension 14,Dimension 15,Dimension 16,Dimension 17,Dimension 18,Dimension 19,Dimension 20,Dimension 21,Dimension 22,Dimension 23,Dimension 24,Dimension 25,Dimension 26,Dimension 27,Dimension 28,Dimension 29,Dimension 30
Pulmonary Fibrosis,-0.27856,-0.08463,-0.036,-0.01164,0.00929,0.00119,-0.08767,-0.00857,0.00544,0.01446,-0.00801,0.03074,0.02063,0.01142,-0.02866,0.01178,-0.04298,0.01813,-0.03897,-0.01771,-0.01646,0.01025,-0.00854,-0.02739,0.02261,-0.00526,-0.00782,0.00022,-0.00716,-0.00651
Raised LDL-C,-0.07085,0.01576,0.01111,0.02529,-0.02629,-0.01346,0.00348,-0.00457,0.0018,0.00213,-0.0003,0.00096,0.0001,0.0017,0.00111,7e-05,0.0012,0.00201,-0.00016,-0.0005,-0.00139,0.00226,0.00078,-0.00089,-0.00203,0.00077,5e-05,-2e-05,-0.00014,-0.00062
Raised Total Cholesterol,-0.06582,0.01215,0.00814,0.01939,-0.02008,-0.00944,0.00273,-0.00349,0.00118,0.00151,0.00028,0.00046,0.0005,0.00122,0.00095,0.00019,0.00077,0.00182,4e-05,-0.00032,-0.00094,0.00162,0.00047,-0.00073,-0.00137,0.00057,0.00017,5e-05,-0.00012,-0.00037
Raised Triglycerides,-0.10947,0.03559,0.01256,0.01628,-0.01406,-0.01676,0.003,-0.00644,0.00061,0.00145,-0.00141,0.00097,-0.00282,0.00133,-0.00087,0.0004,0.00034,-0.00099,-0.00119,2e-05,-0.00133,0.00051,0.0002,-0.00022,-0.00128,0.00012,-2e-05,-0.00062,0.00035,-0.00044
Raynaud's syndrome,-0.02714,-0.03638,-0.02113,0.03485,0.02174,0.00555,-0.00377,0.01538,0.00144,0.00244,-0.00224,0.00331,0.00479,0.00834,-0.00845,0.00256,-0.00343,0.02342,-0.003,-0.00625,-0.01159,0.00409,0.00877,-0.01847,0.01051,-0.02507,0.00386,0.00316,0.00555,-0.00431
Retinal vascular occlusions,-0.24982,-0.04079,0.00778,-0.01423,-0.00906,0.05356,0.00472,-0.00248,0.01552,-9e-05,0.01351,-0.01354,0.01411,-0.00286,0.00455,0.00237,0.00966,-0.02128,0.00129,-0.00571,-0.01592,0.01762,-0.00896,0.00945,-0.00012,-0.00922,-0.00421,-0.0056,0.00302,-0.00603
Rheumatic Valve Disorder,-0.33626,-0.1479,-0.03149,-0.08252,0.03752,0.00791,0.04301,-0.00306,0.02789,0.1228,0.03157,0.17046,-0.01665,-0.00468,0.02372,-0.00031,-0.00393,0.01898,-0.00254,-0.13787,-0.03448,-0.03597,0.02859,0.0403,-0.02456,0.02989,0.01317,0.01535,0.00577,-0.00403
Rheumatoid Arthritis,-0.13423,-0.02571,-0.01613,0.04917,0.0049,0.01484,-0.00318,0.01647,0.00312,0.0166,-0.00421,0.00385,0.02152,0.01657,-0.03199,0.02911,-0.02029,0.01368,-0.00444,-5e-05,0.00189,-0.00055,0.00316,-0.00796,0.01538,-0.00345,-0.00141,-0.00577,0.00755,-0.00065
Right bundle branch block combinations,-0.20375,-0.05724,-0.01066,-0.02574,0.008,-0.00754,-0.00448,-0.00417,0.00331,0.0088,-0.00933,0.02327,0.00053,-0.02367,0.0034,-0.00614,0.00713,-0.00339,0.00054,-0.01341,-0.00707,-0.00612,-6e-05,0.00075,0.00238,0.00039,-0.0003,0.00755,-0.00579,-0.00407
Rosacea,-0.02955,-0.0111,-0.00852,0.02863,-0.00083,-0.00037,-0.00515,0.01345,0.00325,-0.00701,-0.00803,0.00411,-0.00751,-0.00141,-0.00073,0.00936,0.01024,0.00056,0.00288,-0.00095,-0.00486,0.00202,0.00476,-0.00598,-0.00712,-0.00654,0.00646,0.00528,-7e-05,0.00141
Sarcoidosis,-0.0912,0.01281,-0.00412,0.02289,-0.00542,0.00783,-0.0052,0.012,0.00182,0.00873,-0.00806,0.0157,0.0091,0.00347,-0.02105,0.00342,-0.00375,0.0013,-0.00181,0.00974,-0.03472,0.01835,0.00262,0.01815,0.01746,-0.00302,-0.01056,-0.00278,0.00349,0.00903
Schizophrenia,-0.01399,0.04338,-0.03137,0.00265,0.03495,-0.00577,0.02667,-0.11715,-0.01329,-0.00379,0.00579,0.00473,0.02686,-0.00452,-0.02039,-0.00223,-0.00321,-0.01423,-0.01131,0.00344,0.00373,0.00274,0.03318,0.00383,-0.01749,-0.00601,-0.0095,0.01088,0.00075,-0.00365
Scleritis and episcleritis,-0.04334,-0.00821,-0.00528,0.0377,0.00277,0.0052,-0.00401,0.01729,0.00503,-0.00461,-0.00819,0.00562,0.00163,0.00426,-0.00836,0.01016,0.00471,0.0004,0.00619,0.00691,-0.02805,0.00857,0.0065,0.00981,0.00704,-0.0008,-0.00101,0.00157,0.00543,0.00603
Scleroderma,-0.12229,-0.06346,-0.05443,0.06058,0.02648,0.02459,-0.0095,0.03556,0.0032,0.04248,-0.01685,0.06316,0.02713,0.05474,-0.05321,0.00476,-0.06633,0.10061,-0.02912,-0.05631,-0.06022,0.01741,0.04159,-0.08589,0.06451,-0.11604,0.00291,0.00789,0.01985,-0.02212
Seborrheic dermatitis,-0.0096,-0.01157,-0.00895,0.01369,0.0136,0.0049,-0.00581,0.01064,0.00456,-0.00805,-0.01484,0.00282,-0.00905,-0.00576,-0.00626,0.01707,0.00826,-0.00485,0.00023,-0.00131,-0.00029,0.0031,0.00514,-0.00335,-0.00907,-0.00388,0.00445,0.0042,-0.00057,0.00028
Secondary Malignancy_Adrenal Gland,-0.22856,-0.09029,-0.06877,-2e-05,-0.15149,0.13601,-0.15191,-0.03444,-1.02781,0.14326,-0.08715,-0.07544,-0.18987,0.02858,0.09804,0.13,-0.02167,0.03957,-0.0704,-0.00136,-0.0843,0.08868,-0.03703,0.01587,0.02591,0.07444,-0.07548,0.14058,0.13945,-0.16298
Secondary Malignancy_Bone,-0.19096,-0.07505,-0.01831,0.00532,-0.0907,0.07567,-0.07299,-0.00255,-0.42953,0.05408,-0.03502,-0.03517,-0.05182,-0.00918,0.0455,0.03125,0.03267,-0.01089,-0.00309,5e-05,-0.01171,-0.00272,0.00039,-0.01179,0.00493,0.00508,-0.01961,0.03776,0.03764,-0.01802
Secondary Malignancy_Bowel,-0.21292,-0.06878,-0.05923,-0.00598,-0.09449,0.10949,-0.07257,0.01846,-0.55711,0.08183,-0.07367,-0.01623,-0.07521,0.00901,0.00823,0.0024,0.02738,-0.01841,0.04918,0.008,-0.02494,-0.01876,0.08255,0.07621,0.01395,-0.0747,0.08129,-0.09762,-0.01198,-0.07971
Secondary Malignancy_Brain,-0.13265,-0.0502,-0.01986,0.0092,-0.07585,0.06459,-0.06032,-0.02091,-0.43405,0.06064,-0.02191,-0.03896,-0.06369,0.0222,0.04007,0.06196,-0.01749,0.03469,-0.04946,0.00248,-0.02668,0.03836,-0.04936,-0.0229,0.00019,0.04683,-0.05318,0.07577,0.04958,-0.01248
Secondary Malignancy_Liver,-0.16515,-0.03512,-0.01843,0.00146,-0.07562,0.07058,-0.05584,0.00227,-0.37311,0.04455,-0.02988,-0.02919,-0.04749,0.01114,0.03656,0.01817,0.00609,-0.01158,0.02463,-0.00265,0.00076,0.00527,0.03602,0.02928,0.00904,-0.00863,0.03269,-0.0365,-0.01809,-0.05769
Secondary Malignancy_Lung,-0.17916,-0.0555,-0.0279,0.00845,-0.09808,0.09984,-0.07514,-0.00597,-0.56685,0.07839,-0.04292,-0.04079,-0.08477,0.02078,0.0716,0.04771,0.02273,-0.01332,0.01893,-0.00474,-0.01133,0.00934,0.03706,0.0343,0.00718,-0.00759,0.02446,-0.01994,0.00817,-0.05532
Secondary Malignancy_Lymph Nodes,-0.15162,-0.04778,-0.02259,0.02477,-0.07039,0.06643,-0.03845,0.00054,-0.32691,0.04624,-0.02189,-0.014,-0.0397,0.02725,0.04979,0.03234,0.02227,0.00665,0.00908,-0.00139,0.00033,0.00884,0.01366,0.00706,-0.00401,0.00054,0.01321,0.01543,0.01938,0.02752
Secondary Malignancy_Peritoneum,-0.14803,-0.02442,-0.07605,0.01209,-0.09667,0.10331,-0.05438,0.00649,-0.47601,0.08858,-0.04248,-0.0126,-0.06974,0.06296,0.05213,0.02494,0.03659,-0.0007,0.03457,-0.00196,0.01809,0.01,0.09196,0.10632,0.01403,-0.02399,0.06372,-0.08906,-0.05672,0.06451
Secondary Malignancy_Pleura,-0.26925,-0.15785,-0.12528,-0.01557,-0.07944,0.16751,-0.11125,-0.01298,-0.81023,0.19526,-0.08751,0.06703,-0.09897,0.1058,0.03465,0.07834,0.05708,0.04329,-0.00788,0.04299,-0.05212,0.07008,0.02375,0.1413,0.02104,-0.025,0.01912,0.01356,0.0556,0.12236
Secondary Malignancy_other,-0.16508,-0.04352,-0.01558,0.00414,-0.06281,0.05281,-0.03991,-0.00195,-0.25312,0.03195,-0.01638,-0.01887,-0.02679,0.00403,0.02125,0.01503,0.00779,-0.00341,0.0012,0.00025,-0.00259,-0.00029,0.00166,0.00011,-0.00018,-0.00079,-0.00199,0.00422,0.00478,0.00576
Secondary Thrombocytopaenia,-0.13704,0.019,-0.14978,-0.04247,-0.02159,0.01957,-0.00222,0.0274,-0.00517,0.02756,-0.02615,0.00852,0.00277,0.0297,-0.08418,-0.05367,0.05484,0.0051,-0.01292,-0.00145,0.01147,0.01858,-0.0115,0.007,1e-05,0.00776,0.00986,0.00512,0.00294,-0.02223
Secondary polycythaemia,-0.15881,0.0214,-0.04605,-0.0072,0.00018,-0.02312,-0.00649,-0.03488,-0.0118,0.01206,-0.00626,0.02308,-0.02779,-0.03205,-0.04021,0.01234,-0.0259,0.0109,-0.04545,0.0073,-0.03132,-0.01246,-0.08292,-0.00803,0.00072,-0.02418,-0.00147,-0.02065,-0.10724,-0.00071
Secondary pulmonary hypertension,-0.35799,-0.1384,-0.05772,-0.10049,0.04449,0.00592,0.00887,-0.00674,0.01374,0.13219,0.0031,0.20763,0.00336,-0.01025,-0.00426,0.00175,-0.03925,0.03403,-0.04006,-0.10418,-0.04798,-0.02413,-0.00773,0.00496,0.01061,-0.00586,-0.00608,0.01477,-0.03646,-0.01238
Sick sinus syndrome,-0.29394,-0.12538,-0.01151,-0.03476,0.00542,0.01669,0.02435,-0.00372,0.01843,0.0252,0.0152,0.03083,-0.01063,-0.0203,0.01098,-0.00704,0.01432,-0.01101,0.01196,-0.0145,0.0009,-0.00749,0.00791,0.0003,-0.00412,-0.00466,0.00253,-0.0,0.00032,0.00097
Sickle Cell Disease,0.04226,-0.00481,-0.01233,-0.05169,0.01365,0.03696,4e-05,0.01113,-0.00233,0.03514,-0.01144,0.01986,-0.00254,0.0206,-0.07184,-0.05124,-0.0017,0.00579,-0.01289,0.0072,-0.00258,0.00468,-0.00175,0.06937,0.01035,-0.02636,0.03745,0.02406,-0.01957,-0.00047
Sjogren's Syndrome,-0.1386,-0.04656,-0.05368,0.11765,0.04278,0.027,0.0001,0.04443,0.00894,0.04367,-0.0124,0.00849,0.0299,0.05352,-0.05629,0.01684,-0.03729,0.05817,-0.02268,-0.0045,-0.02873,0.0146,0.0348,-0.04395,0.05032,-0.0735,0.00677,-0.00928,0.02649,-0.00194
Sleep apnoea,-0.12172,0.05088,-0.00079,0.02155,0.02489,-0.02843,-0.0074,-0.00618,0.00111,0.00197,-0.01457,0.01723,-0.01745,-0.01708,-0.0072,0.0007,0.00123,-0.00828,-0.01245,0.00513,-0.00265,-0.0071,-0.00611,0.00501,0.00708,-0.00054,-0.00495,-0.00637,-0.00426,0.00154
Spina bifida,-0.01591,-0.00379,-0.01431,0.02752,0.01567,0.00133,-0.00119,-0.00693,-8e-05,-0.00429,-0.01942,-0.00027,-0.00506,-0.00493,0.00351,-0.00315,0.00969,0.01308,7e-05,0.00895,0.0039,-0.01789,-0.003,0.01108,0.01531,-0.0021,-0.00883,0.01525,-0.0034,0.00132
Spinal stenosis,-0.22524,-0.03489,-0.01471,0.05194,0.00478,0.01207,-0.00932,0.01143,0.00484,-0.02665,-0.00678,-0.00038,0.01279,-0.01949,0.00422,0.00555,0.01644,0.02193,-0.01858,0.00878,0.01358,-0.03281,0.00215,0.02056,0.02944,0.00559,-0.00175,0.00473,0.01131,-0.01049
Spondylolisthesis,-0.15414,-0.0357,-0.01776,0.0631,0.00133,0.01262,-0.00391,0.01054,0.00646,-0.02227,-0.00639,0.00505,0.0139,-0.01022,0.00773,0.0065,0.01345,0.02294,-0.01974,0.00985,0.0177,-0.03642,0.00456,0.02695,0.03913,0.00875,0.0003,0.00889,0.01395,-0.013
Spondylosis,-0.18019,-0.03222,-0.01346,0.05124,0.00205,0.00536,-0.00412,0.00676,0.00354,-0.01403,-0.00326,-0.00035,0.0042,-0.00497,0.00413,0.00238,0.00552,0.00563,-0.00608,0.00175,0.00381,-0.00665,0.00126,0.0044,0.00752,0.00284,0.00139,0.00163,0.00222,-0.00198
Stable Angina,-0.32173,-0.06327,0.00215,-0.0839,0.05118,-0.08405,0.01061,0.01358,-0.0061,-0.01887,-0.01187,-0.02854,0.00763,0.01409,0.0027,0.00187,0.0017,0.00298,-0.00013,-0.00263,-0.00087,0.00116,0.00175,0.00191,-0.00042,0.00034,0.0016,0.001,-0.00023,0.00072
Stroke_not otherwise specified,-0.25802,-0.06688,-0.00701,-0.03103,0.00329,0.04074,0.02509,-0.0324,0.02419,0.01469,0.03809,-0.03845,-0.06965,-0.00969,-0.01131,0.00021,-0.00461,0.01118,-0.00024,0.00146,-0.00116,0.00549,0.00554,0.00096,0.00296,0.00386,0.00105,-0.00087,0.00281,0.00032
Subarachnoid haemorrhage,-0.11389,-0.01962,-0.01796,0.00369,-0.0098,0.01889,0.01823,-0.03115,0.00857,0.0092,0.01627,-0.02193,-0.0341,0.00118,-0.00944,0.00369,-0.00597,0.01548,-0.00164,0.00706,-0.00058,0.00502,-0.00082,0.00179,0.00145,0.00257,0.00232,0.00798,-0.00055,0.00174
Substance Misuse,0.02915,0.01477,-0.0653,-0.00242,0.0424,-0.00788,0.01158,-0.07129,-0.01615,-0.01742,0.02326,0.00503,0.02384,-0.01716,-0.01554,3e-05,-0.00661,-0.00093,-0.00779,0.00179,0.00191,0.00087,0.01206,0.00816,-0.00247,-0.00272,0.00068,0.00539,-0.00222,-4e-05
Supraventricular tachycardia,-0.1326,-0.05115,-0.01631,0.00469,0.01085,-0.00508,0.00973,0.00376,0.003,0.01703,0.0065,0.03356,-0.00541,-0.00621,0.00857,-0.0021,0.00506,0.00254,0.0059,-0.00087,-0.00015,0.00237,0.00232,-0.00151,0.00114,0.00398,0.00381,0.00102,-0.00301,0.0011
Thalassaemia,-0.0016,0.01839,-3e-05,-0.0123,0.01755,0.02013,-0.00263,0.01883,0.00028,0.01277,-0.0116,0.01088,-0.00262,0.02469,-0.0371,-0.02602,-0.00584,-0.00381,-0.0028,0.00892,-0.00048,-0.00469,0.00352,0.03423,-0.00335,-0.01549,0.01798,0.01536,-0.00163,-0.00384
Thrombophilia,0.00274,-0.00898,-0.02103,0.02498,0.02224,0.0055,0.00289,0.0069,-0.0029,0.01581,0.00164,0.00226,-0.01974,0.01684,-0.02505,-0.00542,-0.00129,0.01847,-0.00813,0.00631,-0.01006,-0.00585,0.00667,0.00509,0.01222,-0.03298,-0.00875,-0.00477,-0.011,0.00354
Thyroid Disease,-0.09365,-0.0037,-0.00133,0.02797,0.00294,0.00882,0.00906,-0.00223,0.00248,0.00953,-0.00304,0.00494,0.00172,0.0192,0.0023,0.00279,-0.00085,0.00246,1e-05,0.00165,0.0016,-0.00057,0.00075,-0.00147,-0.00446,-0.002,0.00055,-0.00038,-0.0005,0.00022
Tinnitus,-0.07421,-0.01637,-0.00679,0.03683,-0.0033,-0.00209,-0.0048,0.00613,0.00341,-0.0142,-0.00509,0.00157,0.00016,-0.00836,0.00375,-0.002,0.01185,3e-05,0.00032,-0.00202,-0.00418,0.00505,0.0031,-0.00384,0.00049,0.00055,0.00509,0.00201,-0.00108,0.00069
Transient ischaemic attack,-0.27161,-0.08149,-0.00748,-0.01892,0.00035,0.03899,0.02169,-0.02586,0.02443,0.00848,0.03576,-0.0362,-0.06381,-0.01115,-0.00906,-0.00041,-0.00212,0.00901,-0.00052,-0.0014,-0.00165,0.00548,0.00596,0.00037,0.00252,0.00423,0.00149,-0.00228,0.00333,4e-05
Trigeminal neuralgia,-0.10215,-0.02379,-0.01462,0.06456,0.01295,0.00113,3e-05,0.01038,0.00352,-0.00858,-0.00208,0.00115,-0.00416,0.00629,0.005,0.00136,0.00795,0.0069,-0.0003,0.00168,-0.00345,0.0045,0.00241,0.00145,0.0005,0.00091,0.00116,0.0021,-0.0007,0.00029
Tubulo-interstitial nephritis,-0.19973,-0.00775,-0.02863,0.00399,0.00971,0.03804,0.00323,-0.00129,-0.01036,0.01937,-0.01545,0.0283,0.01762,0.02796,-0.06575,0.00056,-0.01949,-0.00819,0.00537,0.0284,-0.05065,-0.02538,0.02062,0.00714,-0.00101,-0.04887,-0.02381,-0.03593,0.02846,0.03748
Type 1 Diabetes Mellitus,-0.12423,0.17608,0.04667,-0.06541,0.08168,0.07719,-0.02342,0.02292,-0.00217,-0.00697,0.01025,0.00039,0.0213,-0.00818,0.01205,-0.00565,-0.00216,0.03638,0.01799,-0.01066,1e-05,0.02224,0.00701,-0.01425,0.00172,0.00886,0.01023,0.01244,-0.00394,0.00215
Type 2 Diabetes Mellitus,-0.23234,0.11897,0.03088,-0.03095,0.03557,0.02238,-0.00763,0.00482,-0.00166,-0.00054,0.00137,0.00209,-0.00204,0.00098,0.00067,-0.00032,-0.00148,-0.00768,-0.00103,-0.00175,0.00184,-0.00065,0.00067,-0.00179,0.00484,0.00039,0.00173,0.00259,0.0001,0.00059
Ulcerative colitis,-0.04317,-0.01244,-0.01554,0.01344,0.00276,0.00969,-0.00744,0.01769,-0.00189,-0.00714,-0.00884,0.00329,0.00262,0.0087,-0.0261,0.00175,-0.01738,-0.00443,0.02824,0.02314,-0.04221,-0.0266,0.01719,-0.01137,-0.00183,0.02892,0.01345,0.0018,-0.00752,0.0026
Unstable Angina,-0.38539,-0.08767,-0.00677,-0.12055,0.09476,-0.13373,0.01865,0.02106,-0.01133,-0.03511,-0.02243,-0.04803,0.01289,0.02912,0.00579,0.00376,0.00046,0.00966,0.00058,-0.00038,-0.00095,0.00544,0.00362,0.00661,-0.00016,0.00166,0.00312,0.00287,-0.00095,0.00135
Urinary Incontinence,-0.12244,-0.02063,-0.01581,0.04676,0.0217,0.02596,0.01082,-0.01368,0.00791,-0.00183,-0.00955,-0.00382,-0.00418,0.01324,0.00803,0.00283,0.0057,-0.00023,-0.00199,0.00587,0.00582,-0.00507,0.00065,0.00162,-0.00067,-0.00223,-0.00292,0.00858,-0.00416,0.00136
Venous thromboembolic disease (Excl PE),-0.14094,-0.02025,-0.02947,0.01202,-0.00293,0.01899,0.00164,-0.01075,-0.0171,0.00328,0.00085,0.00093,0.00048,0.00156,-0.01493,-0.00194,-0.00422,0.00583,-0.00701,0.00809,0.0025,-0.00883,0.00449,0.00696,0.0035,-0.01025,-0.00498,-0.00248,-0.01075,0.00456
Ventricular tachycardia,-0.28711,-0.1073,-0.019,-0.11024,0.05129,-0.09557,0.02568,0.01058,-0.00239,0.05517,0.00098,0.09017,-0.00809,-0.02485,0.01931,-0.00146,0.01544,0.00154,0.03082,0.07424,0.01512,0.03132,0.00453,-0.01573,0.01104,-0.00313,0.00097,0.00483,-0.00617,-0.00628
Visual impairment and blindness,-0.20309,-0.04881,-0.00554,-0.01278,0.00873,0.07458,0.01509,-0.02524,0.02163,0.00366,-0.01017,-0.02138,0.01778,0.00393,0.01194,0.00594,0.00637,-0.01524,0.00444,0.00277,-0.01568,0.01999,-0.01309,0.01457,-0.00417,-0.00727,-0.00603,-0.0011,-0.0017,-0.00791
Vitamin B12 deficiency anaemia,-0.13399,0.0085,-0.00804,0.01465,0.0259,0.0201,-0.00214,0.00342,-0.00025,-0.00104,-0.00254,0.0002,-0.00064,0.01586,-0.01172,-0.00131,-0.01007,-0.00636,0.00692,0.00974,-0.0053,-0.01638,-0.0043,-0.00466,-0.01062,-2e-05,0.00264,0.00082,0.00143,-0.00629
Vitiligo,0.00769,0.00332,-0.00101,0.00645,0.00797,0.00695,-0.0046,0.01695,0.00484,-0.0016,-0.00684,0.00384,-0.00053,0.00647,-0.00413,0.00343,-0.0009,0.00299,-0.00051,0.00161,-0.00281,0.00219,0.00656,-0.00118,-0.00563,-0.00418,0.00399,0.0048,0.00293,-0.00374
